song_artists,uri,track_name,duration_ms,explicit,track_popularity,track_number,album_name,album_artist,album_release_date,genres,label,album_popularity,album_cover,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,song_lyrics,lyrics_page_views,cleaned_title,featured_artists
['Chris Young'],spotify:track:2STPQBzmae97TAy08sQaoN,Cross Every Line,205373,False,43,11,Famous Friends,Chris Young,2021-08-06,,RCA Records Label Nashville,69,https://i.scdn.co/image/ab67616d00001e02d9989e800965709db6403518,0.17,0.535,0.794,4.21e-06,11,0.0904,-4.163,1,0.0381,118.038,4,0.335,"Cross Every Line Lyrics
If I was a quarterback and you were the cheerleader
And I was on the field and you were cryin' by the bleachers
Fourth quarter, fourth down, I wouldn't think twice
I'd take my helmet off, run to you right on the sidelines
If you were captured, baby, I would be relentless
I'd declare it war and run right out them trenches
Yeah, you'd hear my battle cry
I'd let the bullets fly
Wouldn't be an enemy lеt behind the enеmy line

I'd cross every line in the world for you
I'd cross every line in the world for you
Nowhere I wouldn't go, nothin' I wouldn't do
I'd cross every line in the world for you

There'll be people in your life tellin' you that you can't
Be who you wanna be, drawin' lines in the sand
But I promise you now, I ain't that someone
When it comes to you, girl, I ain't ever gonna draw one
I'd cross every line in the world for you
I'd cross every line in the world for you
Nowhere I wouldn't go, nothin' I wouldn't do
I'd cross every line in the world for you
Cross my heart and hope to die
Baby, I wouldn't even break it
I'd cross every line in the world for you

If life's a race, I'm gonna go the distance (Go the distance)
If at the end of it, there's a yellow ribbon (Ribbon)
I'll just keep on lovin' you, there ain't no quittin'
Just 'cause I reached the finish line don't mean I'm finished
No, it don't mean I'm finished

I'd cross every line in the world for you
I'd cross every line in the world for you
Nowhere I wouldn't go, nothin' I wouldn't do
I'd cross every line in the world for you
Cross my heart and hope to die
Baby, I wouldn't even break it
I'd cross every line in the world for youEmbed",,Cross Every Line,
['Chris Young'],spotify:track:6xVsXyoe6GIGi8dW4tW6yp,Hold My Beer Watch This,166773,False,39,12,Famous Friends,Chris Young,2021-08-06,,RCA Records Label Nashville,69,https://i.scdn.co/image/ab67616d00001e02d9989e800965709db6403518,0.393,0.502,0.81,2.23e-05,1,0.038,-2.456,1,0.0422,80.003,4,0.704,"Hold My Beer Watch This Lyrics
Small town dive, Friday night
Never runs out of those cold Bud Lights
Girl walks in, we all stare
Damn near knocks me off of my chair
Green eyes, kick it in another gear
Reelin' in every single guy in here
Ain't gonna wait my turn
I'm gonna make the first move, first

Hold my beer, watch this
Just one shot, I won't miss
By the next song we'll be out there on the dance floor
There ain't no doubt in my mind
Something's going down here tonight
So, I'm gonna take me one more sip then it's
Hold my beer and watch this

Later that night a guy walks up
Hittin' on her and he's halfway drunk
He says, ""Let's dance""
She says, ""No, thanks""
He spits off a four-letter name
Now he's got me mad
Nobody talks to a woman like that
Hold my beer, watch this
Just one shot, I won't miss
Just one hit and he'll be laid out on the dance floor
Ain't no doubt in my mind
Something's going down here tonight
So, I'm gonna take me one more sip, then it's
Hold my beer and watch this

Yeah

Hold my beer, watch this
Just one shot, I won't miss
We got everybody out here on the dance floor
Ain't no doubt in my mind
Something's going down here tonight
So, I'm gonna take me one more sip then it's
Hold my beer and watch this
Yeah, hold my beer and watch thisEmbed",,Hold My Beer Watch This,
['Chris Young'],spotify:track:7Do44VqgadkkePmovMXKkc,Best Seat in the House,185266,False,39,13,Famous Friends,Chris Young,2021-08-06,,RCA Records Label Nashville,69,https://i.scdn.co/image/ab67616d00001e02d9989e800965709db6403518,0.379,0.477,0.761,0.0,8,0.0847,-3.685,1,0.0512,151.989,4,0.776,"Best Seat in the House Lyrics
I only had fifty-four bucks
To buy tickets for the both of us
To that show we've been talkin' 'bout going to for a while
But I had to make you smile
So I bought what I could afford
Just enough left over for a couple of Coors
And sure, we're two rows from the back
But when you look at me like that

I'm feelin' front row center
The band sounds killer with you singing harmony
I wouldn't trade my place to be on that stage
If you weren't there next to me
'Cause those lights ain't got anything on you
I'm locked in on everything you do
Girl, listen from where I'm sittin', no doubt
I got the best sеat in the house

Don't evеn know what song they're on
'Cause I've been over here staring at you so long
Dancin' and singin' with your hair tucked behind your ear
It's never been so clear
Section three hundred thirty-three is the only place I wanna be
Yeah, I'm feeling front row center
The band sounds killer with you singin' harmony
I wouldn't trade my place to be on that stage
If you weren't there next to me
'Cause those lights ain't got anything on you
I'm locked in on everything you do
Girl, listen from where I'm sittin', no doubt
I got the best seat in the house
Yeah, I got the best seat in the house
I'm feelin' front row center
The band sounds killer with you singin' harmony
I wouldn't trade my place to be on that stage
If you weren't there next to me
'Cause those lights ain't got anything on you
I'm locked in on everything you do
Girl, listen from where I'm sittin', no doubt

I got the best seat in the house
(Feelin' front row center, the band sounds killer
With you singin' harmony)
I got the best seat in the house
(I wouldn't trade my place to be on that stage
If you weren't there next to me)Embed",,Best Seat in the House,
['Chris Young'],spotify:track:12zNpaOErw711fPuNlerPR,Tonight We're Dancing,190226,False,44,14,Famous Friends,Chris Young,2021-08-06,,RCA Records Label Nashville,69,https://i.scdn.co/image/ab67616d00001e02d9989e800965709db6403518,0.256,0.56,0.717,5.81e-06,4,0.0874,-5.65,1,0.0341,125.991,4,0.213,"Tonight We’re Dancing Lyrics
I don't wanna hit the same spot
The same restaurant
We've been to a million times before
Wanna do something different
Remember when we met
And I pulled you out on to a hardwood floor
I wanna make you feel that way again

So, tonight we're dancing
Barefoot in the kitchen
Spinnin' along to a George Strait song, ""You Look So Good In Love""
And when it's just us
All I wanna do is stare into your eyes all night long
Heart-to-heart, hand-in-hand
So, tonight we're dancing

I just wanna turn down the lights
Lose track of time
Steal a few kisses, then steal a few more
Hell, I don't even know how long it's been
So, tonight we're dancing
Barefoot in the kitchen
Spinnin' along to a George Strait song, ""You Look So Good In Love""
And when it's just us
All I wanna do is stare into your eyes all night long
Heart-to-heart, hand-in-hand
So, tonight we're dancing

Yeah, tonight we're dancing
I wanna make you feel that way again

So, tonight we're dancing
Barefoot in the kitchen
Spinnin' along to a George Strait song, ""You Look So Good In Love""
And when it's just us
All I wanna do is stare into your eyes all night long
Heart-to-heart, hand-in-hand
Just turnin' in circles again and again
So, tonight we're dancing
Girl, tonight we're dancingEmbed",,Tonight We’re Dancing,
['Chris Young'],spotify:track:6waqLPcT6ruMhmd36OhmFO,Losing Sleep,178253,False,64,1,Losing Sleep,Chris Young,2017-10-20,,RCA Records Label Nashville,62,https://i.scdn.co/image/ab67616d00001e024f90c1c1e428bcf6615d5bed,0.0715,0.584,0.621,1.68e-06,1,0.389,-5.703,1,0.0443,92.003,4,0.634,"Losing Sleep Lyrics
Light a candle
Turn all the lights down low
Baby, let's just lose control, lose control
I can handle every single curve, you know
That I love you, let me show you, oh

Fall into me, let me breathe the air you breathe
I can take you anywhere you wanna be
When it comes to us every single touch is something special
When we're wrapped up in those sheets
Yeah, we're winning when we're losing
When we're losing sleep

Real life, when it's this good don't you know
We don't need to dream at all
Baby, so...

Fall into me, let me breathe the air you breathe
I can take you anywhere you wanna be
When it comes to us every single touch is something special
When we're wrapped up in those sheets
Yeah, we're winning when we're losing
When we're losing sleep
Fall into me, let me breathe the air you breathe
I can take you anywhere you wanna be, yeah
When it comes to us every single touch is something special
When we're wrapped up in those sheets
Yeah, we're winning when we're losing
When we're losing sleep
When we're losing sleep
Yeah, we're winning when we're losing

Light a candle
Turn all the lights down low3Embed",33927.0,Losing Sleep,
['Chris Young'],spotify:track:6CyJlVAEFlNdpggOLanytL,Hangin' On,185440,False,60,2,Losing Sleep,Chris Young,2017-10-20,,RCA Records Label Nashville,62,https://i.scdn.co/image/ab67616d00001e024f90c1c1e428bcf6615d5bed,0.0651,0.434,0.831,0.0,8,0.119,-4.774,1,0.0453,156.034,4,0.596,"Hangin’ On Lyrics
I'm a few drinks in, but that ain't the reason
I'm all tongue-tied and my breath's leaving this fast
I can't get past
Those blue eyes shining
They keep drawing me in to you
Got me fallin' off track
You get me like that

Yeah, I'm hangin' on, hangin' on
To every word you say
Every move you make
I'm hangin' on, hangin' on
Wondering what's up next
Girl, I can't wait
Ain't nothing like spinning you around the room
Where everyone can see
You hangin' on, hangin' on to me

It ain't the song, and it ain't the playlist
It's every smile coming off of your sweet lips, yeah
That makes me wanna stay here
No, this ain't a one night, one time thing
You always light me up like a flame and it's clear
Every time you're near
Yeah, I'm hangin' on, hangin' on
To every word you say
Every move you make
I'm hangin' on, hangin' on
Wondering what's up next
Girl, I can't wait
Ain't nothing like spinning you around the room
Where everyone can see
You hangin' on, hangin' on to me
Yeah, you hangin' on to me

So let me pull you a little closer
Even when the music's over

I'll be hangin' on, hangin' on
To every word you say
Every move you make
I'm hangin' on, hangin' on
Wondering what's up next
Girl, I can't wait
Ain't nothing like spinning you around the room
Where everyone can see
You hangin' on, hangin' on to me
Yeah, you hangin' on to meEmbed",63461.0,Hangin’ On,
['Chris Young'],spotify:track:0TZ7zhkR4ffP7m48Env7XG,Holiday,176400,False,40,3,Losing Sleep,Chris Young,2017-10-20,,RCA Records Label Nashville,62,https://i.scdn.co/image/ab67616d00001e024f90c1c1e428bcf6615d5bed,0.417,0.606,0.691,2.28e-06,3,0.0707,-6.475,1,0.0295,183.834,4,0.953,,,,
['Chris Young'],spotify:track:4bZhl0f9l9wkTa6Vkst0RY,Radio and the Rain,180960,False,39,4,Losing Sleep,Chris Young,2017-10-20,,RCA Records Label Nashville,62,https://i.scdn.co/image/ab67616d00001e024f90c1c1e428bcf6615d5bed,0.144,0.581,0.809,0.0,7,0.114,-6.604,0,0.0376,83.972,4,0.816,"Radio and the Rain Lyrics
It's really coming down outside
Every now and then a rumble of thunder rolls across the sky
But the way you're crawling into my seat
I can tell this storm tonight will have nothing on you and me

Every song that's coming on is setting the mood tonight
Gettin' us right
Like every kiss off of your lips, hitting me stronger than
A lightning strike
Never heard anything like that
The way you whisper my name
Making love to the soundtrack
Of the radio and the rain

I don't see nothing but your silhouette
Illuminated by the panel on my dash, it's got you back-lit
And the way we're fogging up the windows
I guess it's a pretty good thing we're parked out on some no name road
Every song that's coming on is setting the mood tonight
Gettin' us right
Like every kiss off of your lips, hitting me stronger than
A lightning strike
Never heard anything like that
The way you whisper my name
Making love to the soundtrack
Of the radio and the rain
The radio and the rain

It's really coming down outside
And I got your shadow fading into mine

Every song that's coming on is setting the mood tonight
Gettin' us right
Like every kiss off of your lips, hitting me stronger than
A lightning strike
Never heard anything like that
The way you whisper my name
Making love to the soundtrack
Of the radio and the rain
The radio and the rain1Embed",,Radio and the Rain,
['Chris Young'],spotify:track:0950zBhDfpTlPmANus8lIq,Where I Go When I Drink,210346,False,47,5,Losing Sleep,Chris Young,2017-10-20,,RCA Records Label Nashville,62,https://i.scdn.co/image/ab67616d00001e024f90c1c1e428bcf6615d5bed,0.697,0.6,0.32,0.0,0,0.105,-10.579,1,0.0265,113.817,4,0.346,"Where I Go When I Drink Lyrics
There's a barstool downtown with my name on it
There's a party crowd promising a good time
But I ain't goin'
Used to be, I'd be there
Throwin' a couple down
But now one leads to two, and two leads to four
And before I know it, I'm thinking about

Standing at the end of the drive
Your tail lights fading into the night
Screaming your name in the pouring down rain
Watching you leave us behind
So I don't go out on the town
All the whiskey I had, I poured out
My heart needs time to get over you and me
And that's where I go when I drink

Sometimes I feel like I could have a few
But I know better your memory's no quitter
And every time I do, I'm...
Standing at the end of the drive
Your tail lights fading into the night
Screaming your name in the pouring down rain
Watching you leave us behind
So I don't go out on the town
All the whiskey I had, I poured out
My heart needs time to get over you and me
And that's where I go when I drink

One drop, you flood my mind
Like a river of goodbye
And I'm..

Standing at the end of the drive
Your tail lights fading into the night
Screaming your name in pouring down rain
Watching you leave us behind
So I don't go out on the town
All the whiskey I had, I poured out
My heart needs time to get over you and me
And that's where I go when I drink

When I drink
That's where I go when I drink1Embed",,Where I Go When I Drink,
['Chris Young'],spotify:track:30ycZOQj59qlIGI0MvLtDm,She's Got a Way,171240,False,54,6,Losing Sleep,Chris Young,2017-10-20,,RCA Records Label Nashville,62,https://i.scdn.co/image/ab67616d00001e024f90c1c1e428bcf6615d5bed,0.0982,0.585,0.729,0.0,9,0.0658,-5.133,1,0.0434,160.071,4,0.893,"She’s Got a Way Lyrics
I've been a Friday night rambler
I've been a do what I please
I was a never get tied down member of the bar crowd
That's my scene
It was a whiskey on the rocks
Type to stay out way too late
But the first time she walked in and I saw her
Damn near all that changed

She's got a way to get me spinning off track
She's got a way when she flips her hair back
Yeah, she knows that I'm staring like she's daring me to look away
She's got a way when she dances like that
She's gotten good at making me want her bad
Never thought I'd be here fallin' all in love, but what can I say?
She's got a way (hey)
Yeah, she's got a way (hey)

She's a different kinda party
She's a different kinda watching that sun come up
Staying in on Friday nights now, I get an even better buzz
She's got a way to get me spinning off track
She's got a way when she flips her hair back
Yeah, she knows that I'm staring like she's daring me to look away
She's got a way when she dances like that
She's gotten good at making me want her bad
Never thought I'd be here fallin' all in love, but what can I say?
She's got a way
Yeah, she's got a way
She's got a way to get me spinning off track
She's got a way when she flips her hair back
Yeah, she knows that I'm staring like she's saying don't look away
She's got a way when she dances like that
She's gotten good at me wanting her bad
Never thought I'd be here fallin' all in love, but what can I say?
She's got a way
Yeah, she's got a way

She's got a way
Yeah, she's got a way (hey)Embed",12435.0,She’s Got a Way,
